407.014,0.311904
421.777,0.331667
432.853,0.351522
445.175,0.391481
456.89,0.441521
468.63,0.521763
479.15,0.612102
487.818,0.692421
495.888,0.792889
505.62,0.671838
511.574,0.440145
513.834,0.198477
515.504,-0.0129741
517.821,-0.184173
519.244,-0.697632
519.459,-0.435892
522.11,-0.949382
523.116,-1.22122
524.056,-1.57359
526.283,-1.85553
527.24,-2.18777
529.467,-2.4697
530.465,-2.75161
531.471,-3.02344
534.312,-3.30539
538.423,-3.53704
542.609,-3.67809
548.811,-3.60777
553.842,-3.46696
558.332,-3.23553
560.922,-3.07452
564.749,-2.90348
568.002,-2.68208
570.584,-2.53114
574.435,-2.32989
577.689,-2.1085
581.516,-1.93745
585.359,-1.74628
591.718,-1.48469
594.324,-1.30355
601.223,-1.13258
610.039,-0.871058
617.552,-0.700106
625.639,-0.579504
634.93,-0.489134
648.562,-0.348538
659.049,-0.298466
672.616,-0.238405
683.086,-0.208467
694.793,-0.168493
704.632,-0.158674
716.929,-0.148916
730.454,-0.139189
741.539,-0.109267
753.819,-0.119643
771.039,-0.0999423
783.942,-0.100267
798.705,-0.0805043
